month,visitors
2005-01-01,402000
2005-02-01,342000
2005-03-01,507000
2005-04-01,455000
2005-05-01,417000
2005-06-01,276000
2005-07-01,332000
2005-08-01,268000
2005-09-01,277000
2005-10-01,299000
2005-11-01,330000
2005-12-01,297000
2006-01-01,291000
2006-02-01,316000
2006-03-01,395000
2006-04-01,385000
2006-05-01,344000
2006-06-01,268000
2006-07-01,411000
2006-08-01,440000
2006-09-01,284000
2006-10-01,452000
2006-11-01,505000
2006-12-01,473000
2007-01-01,435000
2007-02-01,324000
2007-03-01,414000
2007-04-01,387000
2007-05-01,406000
2007-06-01,303000
2007-07-01,377000
2007-08-01,382000
2007-09-01,259000
2007-10-01,282000
2007-11-01,307000
2007-12-01,285000
2008-01-01,251000
2008-02-01,286000
2008-03-01,389000
2008-04-01,358000
2008-05-01,341000
2008-06-01,302000
2008-07-01,454000
2008-08-01,493000
2008-09-01,296000
2008-10-01,356000
2008-11-01,344000
2008-12-01,350000
2009-01-01,340000
2009-02-01,339000
2009-03-01,466000
2009-04-01,443000
2009-05-01,415000
2009-06-01,346000
2009-07-01,466000
2009-08-01,481000
2009-09-01,305000
2009-10-01,334000
2009-11-01,366000
2009-12-01,387000
2010-01-01,370000
2010-02-01,371000
2010-03-01,411000
2010-04-01,402000
2010-05-01,379000
2010-06-01,368000
2010-07-01,519000
2010-08-01,568000
2010-09-01,345000
2010-10-01,448000
2010-11-01,402000
2010-12-01,372000
2011-01-01,422000
2011-02-01,407000
2011-03-01,453000
2011-04-01,399000
2011-05-01,395000
2011-06-01,425000
2011-07-01,542000
2011-08-01,517000
2011-09-01,339000
2011-10-01,402000
2011-11-01,444000
2011-12-01,508000
2012-01-01,530000
2012-02-01,414000
2012-03-01,443000
2012-04-01,549000
2012-05-01,440000
2012-06-01,409000
2012-07-01,415000
2012-08-01,351000
2012-09-01,373000
2012-10-01,430000
2012-11-01,415000
2012-12-01,395000
2013-01-01,413000
2013-02-01,494000
2013-03-01,692000
2013-04-01,531000
2013-05-01,533000
2013-06-01,489000
2013-07-01,583000
2013-08-01,568000
2013-09-01,391000
2013-10-01,476000
2013-11-01,402000
2013-12-01,459000
2014-01-01,427000
2014-02-01,493000
2014-03-01,551000
2014-04-01,576000
2014-05-01,575000
2014-06-01,516000
2014-07-01,581000
2014-08-01,681000
2014-09-01,381000
2014-10-01,536000
2014-11-01,505000
2014-12-01,596000
2015-01-01,536000
2015-02-01,475000
2015-03-01,576000
2015-04-01,582391
2015-05-01,569944
2015-06-01,446139
2015-07-01,568275
2015-08-01,464029
2015-09-01,308832
2015-10-01,436293
2015-11-01,499436
2015-12-01,446337
2016-01-01,434289
2016-02-01,564105
2016-03-01,578834
2016-04-01,593859
2016-05-01,482986
2016-06-01,469255
2016-07-01,538471
2016-08-01,553085
2016-09-01,429065
2016-10-01,585215
2016-11-01,527795
2016-12-01,505880
2017-01-01,491383
2017-02-01,471899
2017-03-01,526341
2017-04-01,529623
2017-05-01,436894
2017-06-01,356412
2017-07-01,465114
2017-08-01,446573
2017-09-01,319761
2017-10-01,416086
2017-11-01,360265
2017-12-01,408841
2018-01-01,394954
